id,name,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
6B5xvGvHyVjN8HBdAsoWH0,Maro Maro,0.794,0.0654,0.867,0.567,0.0769,0.495,-6.64,0.0533,129.982,10,4
05YrHIT3ktUKWM0SMwUrkI,Kannethi- Bit,0.36,0.217,0.198,0.00479,0.109,0.0365,-13.438,0.0301,120.976,0,3
0gkvyVZT7lsHCJgwwkGSRn,Ivala,0.702,0.00439,0.66,0.00359,0.118,0.691,-4.119,0.0386,130.955,5,4
7q9jCITcW1whCmv6y3JtFg,Innallu - Bit,0.384,0.514,0.268,0,0.109,0.0353,-11.608,0.0317,121.272,10,3
7MtXu7mXRMdICKyTOb8CuR,Baitikochi Chuste,0.588,0.583,0.443,0,0.136,0.642,-6.197,0.0694,89.749,6,4
5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,0.677,0.643,0.81,3.00E-06,0.168,0.614,-6.192,0.0378,110.044,0,4
3ikoCCFiqH0lRwXE58jidG,Dhaga Dhagamaney,0.573,0.0178,0.842,0,0.354,0.445,-5.707,0.0448,89.964,2,4
6FIaAGKucC6rgxpTGNLSBx,Swagatham Krishna,0.367,0.584,0.666,1.44E-05,0.0891,0.548,-6.476,0.0417,156.031,9,4
1V4hx2szIylOh4rYoPrwlp,AB Yevaro Nee Baby,0.729,0.0561,0.768,1.29E-05,0.129,0.43,-5.709,0.0545,102.043,7,4
1OwwrQXxEc4INMhteCUHZm,Kodakaa Koteswar Rao,0.757,0.505,0.789,1.38E-06,0.196,0.429,-4.979,0.287,111.034,7,4
2DDOQBKGmkv7bPoYF1bELz,Ninnila,0.699,0.505,0.467,2.50E-06,0.152,0.277,-6.363,0.0298,128.989,6,4
57MKnLN5IqjuACXBm01saz,Break The Rules,0.766,0.53,0.893,0.000521,0.0565,0.508,-3.956,0.0916,127.961,4,4
7livrhr8zKME2wfKpSWbp0,Sunona Sunaina,0.777,0.0664,0.776,3.14E-05,0.209,0.88,-3.861,0.0565,130.088,11,4
6vI8sSx4J3oa9It51ZzVZC,Allasani Vaari,0.597,0.654,0.739,0.000361,0.0924,0.587,-6.636,0.0947,171.985,3,4
5oM6SPppdOKxg3XCk9v71k,Vinnane Vinnane,0.786,0.19,0.72,0,0.0978,0.821,-3.78,0.0267,100.951,8,4
2c2dNWJodzG6aQMW0imtag,Toliprema,0.467,0.827,0.701,0,0.108,0.264,-5.706,0.0384,125.923,7,1
4kVsV4GhcNpHSDs6siioM0,Ammayi,0.412,0.66,0.694,1.40E-05,0.224,0.689,-5.002,0.0323,187.911,5,3
3e7CUrRaEgSmbk5XxlAgWc,Ney Veyrey,0.24,0.846,0.375,0,0.101,0.405,-7.004,0.0323,78.611,0,4
4GWaSKW0JpQsqsGjiRbiEz,Nanna Nuv Naa Pranam,0.322,0.915,0.212,0.000455,0.114,0.257,-11.559,0.036,92.71,4,3
0ljjmkJocnhXzP62JYNW8p,Evarevaro,0.474,0.762,0.452,1.58E-06,0.102,0.253,-9.176,0.0396,76.942,10,4
1brtmiixpIAspQgZEQKkLH,Kashmeeru,0.569,0.986,0.185,0,0.137,0.385,-9.934,0.155,120.897,0,3
5BUtT8DGziwD6l9tA7FjJu,Yaalo Yaalaa,0.272,0.843,0.438,0,0.159,0.582,-10.466,0.0393,71.47,0,3
5e8q9tRKfzMDJuGR7DtJB2,SENIGA CHENLA NILABADI CHETHULIYAVE,0.571,0.166,0.932,0.00479,0.167,0.839,-3.093,0.182,79.946,1,4
3K9O6TqcIMX8plGkzBARiK,We Have Romeo,0.908,0.235,0.878,6.10E-06,0.0361,0.457,-9.309,0.166,110.036,0,4
3WkFzi4WS4PeJhHMn2Zbnl,Bommanu Geesthey,0.78,0.0742,0.577,1.05E-05,0.136,0.745,-8.218,0.0301,112.973,2,4
21d3KE855pG8CFvKRWjlsL,Kaani Ippudu,0.932,0.261,0.815,0.0111,0.067,0.87,-10.696,0.0544,119.999,5,4
5ykRe2NirQZdJJKArcXOEW,Music Bit,0.678,0.292,0.719,0.157,0.173,0.202,-11.419,0.0703,95.022,0,4
7jcYdzweHJjcV8Lvk6xuIu,Laalu Dharvaja,0.866,0.144,0.755,2.31E-05,0.0528,0.503,-9.254,0.194,107.999,4,4
07D0H4cb2rlE0BDhvRtnhP,Nammaka Tappani,0.725,0.13,0.543,7.53E-05,0.104,0.307,-8.418,0.0457,89.995,9,4
4KDq9bn0wdEbIFQDi1CGgj,Apudo Ipudo,0.88,0.0519,0.711,0.00201,0.0667,0.819,-9.529,0.104,102.986,7,4
0S9j9OAG3KjmBg4j9XzFcC,Radhika,0.758,0.183,0.877,0,0.183,0.684,-4.437,0.119,137.973,11,4
0hY9eA74QrMCJuWEx7fo9y,"Kurchi Madathapetti (From ""Guntur Kaaram"")(Telugu)",0.748,0.625,0.958,0.248,0.0685,0.864,-5.737,0.129,165.043,0,4
7KkaBto4aewGt8wl6q6wxH,Vachinde,0.825,0.352,0.786,0,0.0872,0.901,-4.5,0.12,102.98,0,4
03O2vlADdl7X3iAi1nLkqL,Edo Jarugutondi,0.634,0.16,0.911,1.07E-06,0.145,0.697,-4.647,0.0691,135.066,0,4
3A3vrhAzRGaK92PtFzndjS,Hey Pillagaada,0.643,0.406,0.695,0.00244,0.0973,0.7,-5.481,0.0855,90.003,0,4
0xNiDPK4YdZ51ALxSid0QV,Oosupodu,0.388,0.28,0.686,0,0.267,0.537,-5.178,0.0633,74.464,11,4
6AnTokjUb1JdSwYAgYB2DC,Hey Mister,0.884,0.105,0.773,0.000157,0.443,0.964,-6.095,0.0402,124.982,4,4
6ummx2ANmvlzDNCvQ84xBg,Fidaa,0.693,0.104,0.833,0,0.403,0.393,-3.992,0.0312,99.996,7,4
4aA2E3GC9NIx5yprmbAjM1,You Rock My World,0.821,0.052,0.91,0.0013,0.367,0.668,-8.25,0.0895,133.022,10,4
7A3HdpivKNGgTW2Bo3udV8,Nuvvunte,0.804,0.022,0.623,0,0.0759,0.711,-9.891,0.0914,97.963,5,4
4s6M8nlOdDmFjKsyGepA1B,O My Brotheru,0.778,0.0514,0.852,0.000681,0.194,0.702,-9.054,0.17,80.082,11,4
2eGp9IyD2SedGK5e3oFB3Q,Thakadimithom,0.952,0.0265,0.552,0.0558,0.0452,0.705,-10.308,0.244,104.992,0,4
4EjO3ELtQkbOBox5adad6a,Feel My Love,0.746,0.0144,0.697,0.000746,0.167,0.542,-7.693,0.0422,99.974,7,4
0osnJEcmFX4tzO9MS8feMn,Aa Ante,0.781,0.0343,0.829,0.00502,0.0826,0.733,-7.811,0.241,102.026,7,4
18TORL6yEYyzbOjCrS8Ipc,Yedhane Koiyakae,0.726,0.449,0.621,0,0.0737,0.685,-6.791,0.05,118.971,2,4
2bageubuN1HjNZwTNlyh0v,Naaloney Pongaynu,0.714,0.328,0.495,0,0.104,0.238,-7.226,0.0361,114.979,9,4
5UIPA4TffGlnyDsaqVEc1v,Yegasi Yegasi,0.922,0.0939,0.816,0,0.202,0.643,-5.794,0.0946,104.494,10,4
4rc1WGmRJ2CsHXTmrBu3gH,Monna Kanipinchavu,0.711,0.304,0.587,0,0.0693,0.584,-7.383,0.223,96.921,6,4
2Lu03NYllO5uk4R9gvNZFJ,Oh! Shanthi Shanthi,0.656,0.356,0.518,0,0.137,0.315,-6.629,0.0443,132.867,10,4
5Vhm92XrsXw5SfFYnxxspt,Athey Nanne,0.772,0.467,0.447,1.55E-06,0.0816,0.758,-9.365,0.0833,133.811,5,4
4dSs0v5rU0KCoZkSiuWZvl,Nidhare Kala,0.752,0.803,0.487,0.00191,0.237,0.567,-8.07,0.0307,115.987,4,4
1ifMH14KizpUxIdRVyPsSZ,Niluvaddham,0.827,0.16,0.638,6.91E-06,0.0922,0.355,-7.792,0.123,95.03,2,4
4EztIh7yvgYs9YLCvxT8ku,Something Something,0.688,0.187,0.818,0,0.337,0.471,-7.112,0.314,170.139,2,4
69PuGOoNWxd2hM0tsrCa2O,Ghal Ghal,0.847,0.142,0.715,3.15E-06,0.372,0.495,-7.592,0.119,101.986,2,4
4b4xkbpRpA8jHbP8GVLYWR,Chandrullo Unde,0.814,0.0771,0.407,0,0.0836,0.413,-8.458,0.0698,115.031,2,4
3Gmq2pQZNo5TqrobE10WgA,Pari Poke Pitta,0.955,0.113,0.778,0.000189,0.247,0.576,-6.964,0.151,127.993,2,4
6OJemp4sHmpogO2ieTATsq,Padam Kadala,0.79,0.687,0.372,0,0.103,0.162,-8.903,0.0623,94.998,1,4
4FexaCwCrxQ9OErHZiLlWh,Adirey Adirey,0.881,0.171,0.884,4.09E-06,0.231,0.701,-6.423,0.171,101.996,6,4
4oDLTpHhYT61aV0RscA9rs,Silakemo,0.684,0.24,0.914,0.000179,0.133,0.709,-5.747,0.405,103.227,8,3
29aG6LSPJtU5yPDFYEvVfi,Andala Chukkala,0.893,0.519,0.552,0,0.123,0.891,-8.729,0.0638,129.958,7,4
6adrkXOmPex66DvtZmsv3R,Maar Maar,0.799,0.15,0.863,0,0.0659,0.832,-6.583,0.184,77.505,10,4
5umi7RqYbqfzuHSwz8oaQj,O Manasa,0.834,0.165,0.811,0.000307,0.039,0.678,-7.572,0.0616,129.96,7,4
5Xsq4Waw2KeRPpfrAoXmMT,Anaganaga Kadala,0.718,0.227,0.438,0,0.201,0.642,-8.762,0.0835,82.991,10,4
