id,name,danceability,acousticness,liveness,loudness,speechiness,label
https://open.spotify.com/embed/track/693359DlfpvoEfIYleKs05,Endhuko Pichi Pichi,0.863,0.103,0.197,0.773327506009428,0.191,Cheerful
https://open.spotify.com/embed/track/4nQTjFHjgznhXpW2j3bu9Y,Chamka Chamka,0.826,0.0303,0.327,0.7677083008147849,0.0613,Cheerful
https://open.spotify.com/embed/track/6B5xvGvHyVjN8HBdAsoWH0,Maro Maro,0.794,0.0654,0.0769,0.7585614834701715,0.0533,Cheerful
https://open.spotify.com/embed/track/05YrHIT3ktUKWM0SMwUrkI,Kannethi- Bit,0.36,0.217,0.109,0.5463428339524866,0.0301,Cheerful
https://open.spotify.com/embed/track/0gkvyVZT7lsHCJgwwkGSRn,Ivala,0.702,0.00439,0.118,0.8372615740018108,0.0386,Cheerful
https://open.spotify.com/embed/track/7q9jCITcW1whCmv6y3JtFg,Innallu - Bit,0.384,0.514,0.109,0.6034714200980239,0.0317,Romantic
https://open.spotify.com/embed/track/7MtXu7mXRMdICKyTOb8CuR,Baitikochi Chuste,0.588,0.583,0.136,0.7723909718103208,0.0694,Chill
https://open.spotify.com/embed/track/5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,0.677,0.643,0.168,0.7725470608435053,0.0378,Chill
https://open.spotify.com/embed/track/3ikoCCFiqH0lRwXE58jidG,Dhaga Dhagamaney,0.573,0.0178,0.354,0.7876876970624046,0.0448,Energetic
https://open.spotify.com/embed/track/6FIaAGKucC6rgxpTGNLSBx,Swagatham Krishna,0.367,0.584,0.0891,0.763681203758624,0.0417,Romantic
https://open.spotify.com/embed/track/1V4hx2szIylOh4rYoPrwlp,AB Yevaro Nee Baby,0.729,0.0561,0.129,0.7876252614491308,0.0545,Cheerful
https://open.spotify.com/embed/track/1OwwrQXxEc4INMhteCUHZm,Kodakaa Koteswar Rao,0.757,0.505,0.196,0.8104142602940719,0.287,Chill
https://open.spotify.com/embed/track/2DDOQBKGmkv7bPoYF1bELz,Ninnila,0.699,0.505,0.152,0.7672088159085944,0.0298,Chill
https://open.spotify.com/embed/track/57MKnLN5IqjuACXBm01saz,Break The Rules,0.766,0.53,0.0565,0.8423500764836265,0.0916,Chill
https://open.spotify.com/embed/track/7livrhr8zKME2wfKpSWbp0,Sunona Sunaina,0.777,0.0664,0.209,0.8453157681141324,0.0565,Cheerful
https://open.spotify.com/embed/track/6vI8sSx4J3oa9It51ZzVZC,Allasani Vaari,0.597,0.654,0.0924,0.7586863546967192,0.0947,Chill
https://open.spotify.com/embed/track/5oM6SPppdOKxg3XCk9v71k,Vinnane Vinnane,0.786,0.19,0.0978,0.8478444104517219,0.0267,Cheerful
https://open.spotify.com/embed/track/2c2dNWJodzG6aQMW0imtag,Toliprema,0.467,0.827,0.108,0.7877189148690414,0.0384,Romantic
https://open.spotify.com/embed/track/4kVsV4GhcNpHSDs6siioM0,Ammayi,0.412,0.66,0.224,0.809696250741423,0.0323,Romantic
